tradeDate,标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
2026-02-26,600009,上海机场,1732661976,26800078,25488566,158500,14800,4600
2026-02-26,600010,包钢股份,3387677730,1115994972,782800431,24143100,2244800,1365000
2026-02-26,600011,华能国际,850374933,65250511,61988917,1285500,25100,5500
2026-02-26,600012,皖通高速,34842507,3198910,5154587,73500,8300,0
2026-02-26,600015,华夏银行,2038812770,27536366,35625778,152100,12400,100
2026-02-26,600016,民生银行,6548129264,137436733,278780385,597620,191300,270600
2026-02-26,600017,日照港,342418314,18509919,17767644,96300,0,4500
2026-02-26,600018,上港集团,898972507,16964874,33938279,69400,1000,1800
2026-02-26,600019,宝钢股份,1465388368,141084897,195739377,524228,89600,142700
2026-02-26,600020,中原高速,215352137,17515557,10612015,289000,6800,200
2026-02-26,600021,上海电力,1585729413,104286763,78139398,430300,26700,29900
2026-02-26,600022,山东钢铁,318425880,88937754,87688771,519900,153700,256000
2026-02-26,600023,浙能电力,460897702,78586259,38206805,299800,103000,200
2026-02-26,600025,华能水电,1932647278,33278529,30875468,87000,100,5800
2026-02-26,600026,中远海能,1026644226,223811155,214070923,358600,11100,5500
2026-02-26,600027,华电国际,891149505,50411097,75473912,207800,91500,5200
2026-02-26,600028,中国石化,1237485948,32822154,56963226,1679100,69700,228900
2026-02-26,600029,南方航空,396323171,46485510,70368874,585400,52800,12000
2026-02-26,600030,中信证券,19094012801,550884759,511783725,708500,45500,31500
2026-02-26,600031,三一重工,1475981535,116923257,82215599,604502,9400,76100
2026-02-26,600032,浙江新能,107923212,5087425,3278004,41000,0,7000
2026-02-26,600033,福建高速,377474873,20280535,18131459,367800,200300,1000
2026-02-26,600035,楚天高速,96641815,2911720,4295161,46600,0,0
2026-02-26,600036,招商银行,12685751400,173942999,191497371,599452,36800,27900
2026-02-26,600037,歌华有线,530474554,29733503,31172770,89900,54900,46500
2026-02-26,600038,中直股份,1157041437,54296956,74208069,229100,2900,900
2026-02-26,600039,四川路桥,140103792,5623014,12842071,75600,1500,0
2026-02-26,600048,保利发展,3184549900,210880125,156492717,920700,99200,257000
2026-02-26,600050,中国联通,3474635407,70562672,103653387,829200,180100,171300
2026-02-26,600053,九鼎投资,137601817,7106453,7310477,0,0,0
2026-02-26,600055,万东医疗,515827412,17914465,9561884,146300,1300,18100
2026-02-26,600056,中国医药,501121011,9975173,8160851,419160,20800,4300
2026-02-26,600057,厦门象屿,118413872,4894596,7841772,278167,700,2800
2026-02-26,600058,五矿发展,440509436,25075411,27001664,98400,30400,10000
2026-02-26,600059,古越龙山,526384911,35115330,12058263,148800,500,9300
2026-02-26,600060,海信视像,370999887,72555665,29033289,50100,6100,4100
2026-02-26,600061,国投资本,1537195476,52161421,40327552,52100,1700,7400
2026-02-26,600062,华润双鹤,539712032,8945548,10359878,240944,300,19500
2026-02-26,600063,皖维高新,618858509,48173961,25635158,73800,0,9800
2026-02-26,600064,南京高科,419541099,16697239,15404236,134100,11400,300
2026-02-26,600066,宇通客车,275247181,76985003,29681388,191100,5700,24400
2026-02-26,600067,冠城新材,201918529,10757753,11161245,47400,0,4200
2026-02-26,600071,凤凰光学,234448788,9845579,9839397,5400,0,0
2026-02-26,600072,中船科技,472703539,49060592,38639162,72236,300,1500
2026-02-26,600073,光明肉业,438459815,39153451,31392851,215100,178500,300
2026-02-26,600075,新疆天业,187891755,19098326,24110717,303900,1500,18600
2026-02-26,600076,康欣新材,253198571,13235657,7973522,0,0,0
2026-02-26,600081,东风科技,136326518,5469072,3917985,29500,0,0
2026-02-26,600085,同仁堂,1369208153,16513543,17306951,115850,6800,6945
2026-02-26,600088,中视传媒,434486404,20529085,16858593,89300,0,0
2026-02-26,600089,特变电工,8150445533,1075777848,1058843806,1350020,97600,44400
2026-02-26,600094,大名城,814820992,12932208,14334470,547900,176300,1900
2026-02-26,600095,湘财股份,830607107,33977403,36324065,582500,0,8400
2026-02-26,600096,云天化,2510448745,914908285,733139773,626400,196100,156300
2026-02-26,600098,广州发展,282667240,8584214,10887586,48400,300,2100
2026-02-26,600100,同方股份,1929682101,82342014,82950144,56724,500,0
2026-02-26,600101,明星电力,253448070,33047208,35844655,18800,0,200
2026-02-26,600104,上汽集团,3640289828,99556437,80766410,616700,179800,71700
2026-02-26,600105,永鼎股份,1600757832,429939217,410717790,482400,41700,28000
2026-02-26,600106,重庆路桥,593892568,7675266,10932870,46200,600,100
2026-02-26,600108,亚盛集团,418933659,24591461,20423624,327200,0,0
2026-02-26,600109,国金证券,1925856423,37286254,25346296,147500,1200,6500
2026-02-26,600110,诺德股份,485809416,131474628,138723984,0,0,0
2026-02-26,600111,北方稀土,8287681846,1426204122,961269520,437500,10300,155800
2026-02-26,600113,浙江东日,1563813146,35832045,19311639,32000,4700,1800
2026-02-26,600114,东睦股份,1192736543,93730947,74809342,16100,5400,1300
2026-02-26,600115,中国东航,284920268,45152115,39112729,678500,37900,17900
2026-02-26,600116,三峡水利,294123590,22941110,10755577,99900,83900,700
2026-02-26,600118,中国卫星,3257736820,403025368,438641510,329600,11400,19500
2026-02-26,600120,浙江东方,899490702,59736984,40320546,406713,0,40600
2026-02-26,600121,郑州煤电,125037811,18424351,23620609,66200,5100,0
2026-02-26,600123,兰花科创,367847194,22366235,12497285,483460,2400,7500
2026-02-26,600125,铁龙物流,487335152,7432035,9138237,24100,0,1400
2026-02-26,600126,杭钢股份,849357820,71929435,107423026,413600,27200,18100
2026-02-26,600127,金健米业,172995938,7916192,14591375,41900,0,100
2026-02-26,600129,太极集团,375451247,9949914,10908035,145841,1000,3500
2026-02-26,600131,国网信通,514545620,40182007,34774002,230300,800,16400
2026-02-26,600132,重庆啤酒,332249945,10365632,12722117,163093,11900,0
2026-02-26,600133,东湖高新,1129299463,43184030,47777039,208200,200,1600
2026-02-26,600135,乐凯胶片,248508285,10365039,10664824,0,0,0
2026-02-26,600138,中青旅,531138008,22823101,13985682,104000,18700,0
2026-02-26,600141,兴发集团,946177472,191089755,147576612,214160,7400,351036
2026-02-26,600143,金发科技,1985611157,95349549,99099406,395397,31600,57000
2026-02-26,600150,中国船舶,6285990562,375566825,486633852,278842,20500,28100
2026-02-26,600151,航天机电,1007550927,89287209,61034607,377300,23500,5000
