tradeDate,证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股/份),融券余量(股/份),融券余额(元),融资融券余额(元)
20260224,001324,长青科技,6485056,65933428,7000,16400,327672,66261100
20260224,001325,元创股份,1723547,44212134,0,0,0,44212134
20260224,001326,联域股份,7718153,93700724,0,0,0,93700724
20260224,001328,登康口腔,5174166,32647841,0,8100,340524,32988365
20260224,001335,信凯科技,8179016,129319062,1500,4500,233460,129552522
20260224,001337,四川黄金,193277244,570571278,19100,65900,3337176,573908454
20260224,001356,富岭股份,5130347,80343488,9600,42200,526234,80869722
20260224,001358,兴欣新材,7361211,72025938,0,0,0,72025938
20260224,001359,平安电工,31495953,332738975,1500,3800,303620,333042595
20260224,001360,南矿集团,15760261,215524150,1000,1000,27250,215551400
20260224,001367,海森药业,4625387,75029049,3300,4300,102813,75131862
20260224,001369,双欣环保,15267636,174085801,0,0,0,174085801
20260224,001373,翔腾新材,4793611,74728645,0,0,0,74728645
20260224,001378,德冠新材,4454612,72941720,0,0,0,72941720
20260224,001379,腾达科技,7913116,82248498,0,1400,34272,82282770
20260224,001380,华纬科技,4029723,132993056,0,700,16506,133009562
20260224,001382,新亚电缆,5167943,67919793,0,0,0,67919793
20260224,001386,马可波罗,18943463,197257700,0,0,0,197257700
20260224,001387,雪祺电气,3991970,97858889,0,19800,296802,98155691
20260224,001388,信通电子,4324296,91591234,0,0,0,91591234
20260224,001389,广合科技,145745798,1196191709,0,4400,449064,1196640773
20260224,001390,古麒绒材,4639517,75704703,0,0,0,75704703
20260224,001391,国货航,4236879,243162589,0,69200,412432,243575021
20260224,001395,亚联机械,4218621,76972980,0,7000,312340,77285320
20260224,001396,誉帆科技,23731423,67692838,0,0,0,67692838
20260224,001400,江顺科技,28027540,176169920,0,3200,336000,176505920
20260224,001696,宗申动力,55638655,904962975,44900,418700,8775952,913738927
20260224,001872,招商港口,3915998,204189839,0,800,15904,204205743
20260224,001896,豫能控股,14793247,357706263,0,2200,22066,357728329
